match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3941018,Spain,Álvaro Borja Morata Martín,Rodrigo Hernández Cascante,0,0,1,"[61.0, 40.1]","[46.6, 38.4]",14.5,-3.024081,Ground Pass,Kick Off,,,,,,,,,,,,From Kick Off
3941018,Spain,Rodrigo Hernández Cascante,Robin Aime Robert Le Normand,0,2,1,"[48.9, 39.0]","[43.0, 49.5]",12.0440855,2.0827334,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Robin Aime Robert Le Normand,Daniel Carvajal Ramos,0,4,1,"[41.5, 53.7]","[56.5, 70.7]",22.671568,0.84781694,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Daniel Carvajal Ramos,Robin Aime Robert Le Normand,0,10,1,"[69.6, 73.5]","[52.6, 63.4]",19.773973,-2.6055098,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Robin Aime Robert Le Normand,Aymeric Laporte,0,13,1,"[53.5, 57.0]","[56.2, 23.3]",33.807987,-1.4908484,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Aymeric Laporte,Marc Cucurella Saseta,0,16,1,"[63.0, 19.0]","[75.1, 7.6]",16.62438,-0.75561976,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Marc Cucurella Saseta,Aymeric Laporte,0,19,1,"[76.1, 7.3]","[57.7, 16.2]",20.439423,2.6910734,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Aymeric Laporte,Marc Cucurella Saseta,0,23,1,"[63.6, 15.7]","[72.4, 6.9]",12.44508,-0.7853982,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Marc Cucurella Saseta,Aymeric Laporte,0,26,1,"[77.0, 9.7]","[62.5, 22.7]",19.474342,2.410686,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Aymeric Laporte,Robin Aime Robert Le Normand,0,29,1,"[65.0, 27.9]","[64.7, 58.2]",30.301485,1.580697,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Robin Aime Robert Le Normand,Daniel Carvajal Ramos,0,31,1,"[64.2, 57.7]","[71.9, 72.7]",16.8609,1.096539,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Daniel Carvajal Ramos,Robin Aime Robert Le Normand,0,35,1,"[78.4, 72.2]","[62.5, 61.6]",19.109423,-2.55359,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Robin Aime Robert Le Normand,Aymeric Laporte,0,38,1,"[63.6, 55.3]","[71.3, 28.6]",27.788128,-1.2900251,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Aymeric Laporte,Nicholas Williams Arthuer,0,41,1,"[76.4, 22.5]","[94.0, 6.3]",23.920702,-0.7440017,Ground Pass,,,,,,,,,,,,,From Kick Off
3941018,Spain,Nicholas Williams Arthuer,,0,48,1,"[114.0, 5.7]","[110.3, 39.7]",34.20073,1.6791933,High Pass,,,True,,,,,Incomplete,,,,,From Kick Off
3941018,Spain,Aymeric Laporte,Fabián Ruiz Peña,0,59,1,"[57.2, 47.2]","[69.6, 51.1]",12.998846,0.30472058,Ground Pass,Recovery,,,,,,,,,,,,Regular Play
3941018,Spain,Fabián Ruiz Peña,Rodrigo Hernández Cascante,1,1,1,"[68.4, 50.8]","[65.4, 58.2]",7.984986,1.9559538,Low Pass,,,,,,,,,,,,True,Regular Play
3941018,Spain,Rodrigo Hernández Cascante,Fabián Ruiz Peña,1,2,1,"[65.4, 55.9]","[70.2, 52.5]",5.8821764,-0.61629695,Ground Pass,,,,,,,,,,,,True,Regular Play
3941018,Spain,Fabián Ruiz Peña,Rodrigo Hernández Cascante,1,3,1,"[70.2, 52.5]","[62.5, 56.0]",8.458132,2.714965,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Rodrigo Hernández Cascante,Aymeric Laporte,1,4,1,"[56.8, 54.8]","[53.2, 42.6]",12.720063,-1.857735,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Aymeric Laporte,Daniel Carvajal Ramos,1,5,1,"[53.1, 42.6]","[54.9, 68.7]",26.161995,1.5019399,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Daniel Carvajal Ramos,Rodrigo Hernández Cascante,1,9,1,"[63.7, 68.8]","[64.3, 63.0]",5.8309517,-1.4677147,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Rodrigo Hernández Cascante,Aymeric Laporte,1,12,1,"[64.3, 63.0]","[60.6, 33.8]",29.433485,-1.696837,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Aymeric Laporte,Marc Cucurella Saseta,1,15,1,"[67.6, 26.1]","[79.9, 13.4]",17.679932,-0.8013968,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Marc Cucurella Saseta,Nicholas Williams Arthuer,1,18,1,"[74.8, 12.0]","[91.2, 5.2]",17.753872,-0.39305803,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Nicholas Williams Arthuer,Aymeric Laporte,1,21,1,"[81.8, 5.2]","[60.2, 13.9]",23.286263,2.758694,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Aymeric Laporte,Robin Aime Robert Le Normand,1,23,1,"[63.6, 15.7]","[64.3, 47.2]",31.507776,1.5485778,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Robin Aime Robert Le Normand,Daniel Carvajal Ramos,1,26,1,"[65.4, 52.5]","[77.8, 76.2]",26.747896,1.0887561,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,1,30,1,"[83.6, 73.0]","[85.8, 76.4]",4.049691,0.9964915,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Lamine Yamal Nasraoui Ebana,Robin Aime Robert Le Normand,1,33,1,"[85.8, 76.4]","[70.7, 60.0]",22.292824,-2.314948,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Robin Aime Robert Le Normand,Aymeric Laporte,1,36,1,"[70.7, 53.7]","[73.1, 26.9]",26.907248,-1.4814824,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Aymeric Laporte,Daniel Carvajal Ramos,1,40,1,"[84.3, 31.5]","[94.4, 74.1]",43.780933,1.3380054,High Pass,,,,,True,,,,,,,,Regular Play
3941018,Spain,Daniel Carvajal Ramos,Pedro González López,1,44,1,"[96.3, 72.4]","[101.7, 56.6]",16.697306,-1.2414702,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Aymeric Laporte,Marc Cucurella Saseta,1,58,1,"[62.0, 5.2]","[72.5, 5.2]",10.5,0.0,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Marc Cucurella Saseta,Fabián Ruiz Peña,2,1,1,"[77.2, 11.6]","[82.9, 21.6]",11.51043,1.0527278,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Marc Cucurella Saseta,Rodrigo Hernández Cascante,2,4,1,"[81.3, 15.1]","[70.5, 20.4]",12.030378,2.6853797,Ground Pass,Recovery,,,,,,,,,,,True,Regular Play
3941018,Spain,Rodrigo Hernández Cascante,Aymeric Laporte,2,5,1,"[70.2, 20.7]","[62.5, 13.1]",10.818965,-2.3627303,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Aymeric Laporte,Robin Aime Robert Le Normand,2,6,1,"[62.0, 13.4]","[52.6, 39.0]",27.27123,1.9227002,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Robin Aime Robert Le Normand,Daniel Carvajal Ramos,2,10,1,"[53.5, 43.5]","[63.7, 65.3]",24.068235,1.1331651,Ground Pass,,,,,,,,,,,,,Regular Play
3941018,Spain,Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,2,12,1,"[65.9, 66.5]","[79.5, 78.3]",18.005554,0.7146503,Ground Pass,,,,,,,,,,,,,Regular Play
